Date,Season,Score,Home/Away,Result,Opponent,Tournament
08 Jul 2022,SEASON 2021/22,1-0,Home,Win,Sarmiento,Primera Division
04 Jul 2022,SEASON 2021/22,1-2,Away,Lose,Aldosivi,Primera Division
24 Jun 2022,SEASON 2021/22,0-1,Home,Lose,Gimnasia La Plata,Primera Division
20 Jun 2022,SEASON 2021/22,0-2,Away,Lose,Vélez Sarsfield,Primera Division
16 Jun 2022,SEASON 2021/22,1-0,Home,Win,Godoy Cruz,Primera Division
10 Jun 2022,SEASON 2021/22,0-2,Away,Lose,CA Huracán,Primera Division
06 Jun 2022,SEASON 2021/22,0-0,Home,Draw,Lanús,Primera Division
13 May 2022,SEASON 2021/22,1 (5-3) 1,Home,Win,Sol de Mayo,Copa Argentina
07 May 2022,SEASON 2021/22,3-1,Home,Win,Estudiantes La Plata,Copa Liga Profesional Argentina
02 May 2022,SEASON 2021/22,1-2,Away,Lose,CA Huracán,Copa Liga Profesional Argentina
23 Apr 2022,SEASON 2021/22,3-0,Home,Win,Independiente,Copa Liga Profesional Argentina
20 Apr 2022,SEASON 2021/22,1-3,Away,Lose,Lanús,Copa Liga Profesional Argentina
15 Apr 2022,SEASON 2021/22,0-1,Away,Lose,Aldosivi,Copa Liga Profesional Argentina
08 Apr 2022,SEASON 2021/22,2-2,Home,Draw,Colón,Copa Liga Profesional Argentina
03 Apr 2022,SEASON 2021/22,0-2,Away,Lose,Tigre,Copa Liga Profesional Argentina
20 Mar 2022,SEASON 2021/22,0-1,Home,Lose,Newell's Old Boys,Copa Liga Profesional Argentina
12 Mar 2022,SEASON 2021/22,1-3,Home,Lose,Barracas Central,Copa Liga Profesional Argentina
03 Mar 2022,SEASON 2021/22,1-0,Away,Win,Central Córdoba SdE,Copa Liga Profesional Argentina
26 Feb 2022,SEASON 2021/22,1-2,Home,Lose,Godoy Cruz,Copa Liga Profesional Argentina
20 Feb 2022,SEASON 2021/22,1-2,Away,Lose,Boca Juniors,Copa Liga Profesional Argentina
15 Feb 2022,SEASON 2021/22,1-0,Home,Win,Vélez Sarsfield,Copa Liga Profesional Argentina
11 Feb 2022,SEASON 2021/22,1-1,Away,Draw,Arsenal de Sarandí,Copa Liga Profesional Argentina
11 Dec 2021,SEASON 2020/21,1-4,Home,Lose,CA Huracán,Primera Division
04 Dec 2021,SEASON 2020/21,2-2,Away,Draw,Lanús,Primera Division
28 Nov 2021,SEASON 2020/21,2-2,Home,Draw,River Plate,Primera Division
25 Nov 2021,SEASON 2020/21,4-1,Away,Win,Colón,Primera Division
20 Nov 2021,SEASON 2020/21,3-1,Home,Win,Atl.Tucumán,Primera Division
05 Nov 2021,SEASON 2020/21,0-3,Away,Lose,Defensa y Justicia,Primera Division
31 Oct 2021,SEASON 2020/21,1-3,Away,Lose,Unión Santa Fe,Primera Division
23 Oct 2021,SEASON 2020/21,2-1,Home,Win,Racing Club,Primera Division
19 Oct 2021,SEASON 2020/21,1-1,Away,Draw,Platense,Primera Division
15 Oct 2021,SEASON 2020/21,3-2,Home,Win,Patronato,Primera Division
08 Oct 2021,SEASON 2020/21,2-2,Away,Draw,Estudiantes La Plata,Primera Division
03 Oct 2021,SEASON 2020/21,0-1,Home,Lose,Argentinos Juniors,Primera Division
25 Sep 2021,SEASON 2020/21,1-4,Away,Lose,Talleres Córdoba,Primera Division
20 Sep 2021,SEASON 2020/21,1-0,Home,Win,San Lorenzo,Primera Division
15 Sep 2021,SEASON 2020/21,2-1,Away,Win,Banfield,Primera Division
04 Sep 2021,SEASON 2020/21,1-2,Home,Lose,Boca Juniors,Primera Division
29 Aug 2021,SEASON 2020/21,4-2,Away,Win,Central Córdoba SdE,Primera Division
25 Aug 2021,SEASON 2020/21,4-0,Home,Win,Arsenal de Sarandí,Primera Division
22 Aug 2021,SEASON 2020/21,1-1,Away,Draw,Newell's Old Boys,Primera Division
17 Aug 2021,SEASON 2020/21,0-1,Away,Lose,RB Bragantino,Copa Sudamericana
14 Aug 2021,SEASON 2020/21,1-2,Home,Lose,Independiente,Primera Division
10 Aug 2021,SEASON 2020/21,3-4,Home,Lose,RB Bragantino,Copa Sudamericana
06 Aug 2021,SEASON 2020/21,0-1,Away,Lose,Sarmiento,Primera Division
02 Aug 2021,SEASON 2020/21,1-2,Home,Lose,Aldosivi,Primera Division
29 Jul 2021,SEASON 2020/21,0-1,Away,Lose,Gimnasia La Plata,Primera Division
25 Jul 2021,SEASON 2020/21,1-0,Home,Win,Vélez Sarsfield,Primera Division
22 Jul 2021,SEASON 2020/21,1-0,Home,Win,Dep. Táchira,Copa Sudamericana
19 Jul 2021,SEASON 2020/21,1-2,Away,Lose,Godoy Cruz,Primera Division
